None,ticker,date,open,high,low,close,volume,dividends,closeunadj,lastupdated
5203,SPY,2000-05-24,138.0,140.688,136.5,140.25,11081500.0,0.0,140.25,2020-08-06
5204,SPY,2000-05-23,140.438,140.813,137.563,138.0,7979200.0,0.0,138.0,2020-08-06
5205,SPY,2000-05-22,141.25,141.469,137.0,140.063,10839400.0,0.0,140.063,2020-08-06
5206,SPY,2000-05-19,142.563,143.234,140.406,141.125,6518400.0,0.0,141.125,2020-08-06
5207,SPY,2000-05-18,145.625,146.313,143.375,143.375,4325600.0,0.0,143.375,2020-08-06
5208,SPY,2000-05-17,145.688,146.188,144.469,145.156,5907200.0,0.0,145.156,2020-08-06
5209,SPY,2000-05-16,146.563,147.719,145.313,146.688,8192200.0,0.0,146.688,2020-08-06
5210,SPY,2000-05-15,142.75,145.609,142.0,145.281,4441300.0,0.0,145.281,2020-08-06
5211,SPY,2000-05-12,141.813,143.469,141.625,142.813,5960800.0,0.0,142.813,2020-08-06
5212,SPY,2000-05-11,140.125,141.5,139.125,141.281,7091100.0,0.0,141.281,2020-08-06
5213,SPY,2000-05-10,140.5,140.969,137.75,138.125,10293900.0,0.0,138.125,2020-08-06
5214,SPY,2000-05-09,143.063,143.406,140.266,141.313,5620300.0,0.0,141.313,2020-08-06
5215,SPY,2000-05-08,142.75,143.375,141.844,142.453,5064100.0,0.0,142.453,2020-08-06
5216,SPY,2000-05-05,141.063,144.0,140.938,143.531,7862400.0,0.0,143.531,2020-08-06
5217,SPY,2000-05-04,142.0,142.359,140.75,141.813,5963600.0,0.0,141.813,2020-08-06
5218,SPY,2000-05-03,144.0,144.0,139.781,140.75,12630700.0,0.0,140.75,2020-08-06
5219,SPY,2000-05-02,145.5,147.125,144.125,144.125,9411900.0,0.0,144.125,2020-08-06
5220,SPY,2000-05-01,146.563,148.484,145.844,147.063,7328300.0,0.0,147.063,2020-08-06
5221,SPY,2000-04-28,147.0,147.859,145.063,145.094,8743400.0,0.0,145.094,2020-08-06
5222,SPY,2000-04-27,143.0,147.344,143.0,146.0,15595300.0,0.0,146.0,2020-08-06
5223,SPY,2000-04-26,147.969,148.75,146.0,146.484,7711100.0,0.0,146.484,2020-08-06
5224,SPY,2000-04-25,144.625,148.156,144.438,148.156,14102000.0,0.0,148.156,2020-08-06
5225,SPY,2000-04-24,141.5,143.313,140.5,142.25,12893100.0,0.0,142.25,2020-08-06
5226,SPY,2000-04-20,143.563,143.938,142.375,143.813,8537600.0,0.0,143.813,2020-08-06
5227,SPY,2000-04-19,144.5,145.125,142.531,143.125,6553700.0,0.0,143.125,2020-08-06
5228,SPY,2000-04-18,140.563,144.469,139.781,144.469,11069200.0,0.0,144.469,2020-08-06
5229,SPY,2000-04-17,135.188,140.75,134.688,140.75,23918200.0,0.0,140.75,2020-08-06
5230,SPY,2000-04-14,142.625,142.813,133.5,136.0,29604000.0,0.0,136.0,2020-08-06
5231,SPY,2000-04-13,147.469,148.156,143.781,144.25,12225800.0,0.0,144.25,2020-08-06
5232,SPY,2000-04-12,150.375,151.156,146.156,146.281,10779200.0,0.0,146.281,2020-08-06
5233,SPY,2000-04-11,150.0,151.625,148.375,150.406,9006400.0,0.0,150.406,2020-08-06
5234,SPY,2000-04-10,151.75,153.109,150.313,150.844,9624200.0,0.0,150.844,2020-08-06
5235,SPY,2000-04-07,151.563,152.125,150.5,151.438,6023600.0,0.0,151.438,2020-08-06
5236,SPY,2000-04-06,150.25,151.688,149.0,150.484,6378500.0,0.0,150.484,2020-08-06
5237,SPY,2000-04-05,147.875,150.813,147.625,149.188,8387200.0,0.0,149.188,2020-08-06
5238,SPY,2000-04-04,151.75,153.0,141.391,150.125,19585500.0,0.0,150.125,2020-08-06
5239,SPY,2000-04-03,150.125,151.25,148.688,151.25,8508200.0,0.0,151.25,2020-08-06
5240,SPY,2000-03-31,149.625,152.313,148.438,150.375,9249100.0,0.0,150.375,2020-08-06
5241,SPY,2000-03-30,150.156,151.922,147.125,148.688,9491900.0,0.0,148.688,2020-08-06
5242,SPY,2000-03-29,151.563,152.484,149.656,151.219,6747500.0,0.0,151.219,2020-08-06
5243,SPY,2000-03-28,151.25,152.984,150.594,151.063,6334400.0,0.0,151.063,2020-08-06
5244,SPY,2000-03-27,153.375,153.781,151.813,151.938,8798600.0,0.0,151.938,2020-08-06
5245,SPY,2000-03-24,152.875,155.75,151.719,153.563,11462900.0,0.0,153.563,2020-08-06
5246,SPY,2000-03-23,149.156,153.469,149.156,152.656,11654500.0,0.0,152.656,2020-08-06
5247,SPY,2000-03-22,149.563,150.844,148.688,150.094,8260000.0,0.0,150.094,2020-08-06
5248,SPY,2000-03-21,145.531,149.75,144.5,149.188,13612600.0,0.0,149.188,2020-08-06
5249,SPY,2000-03-20,146.875,147.344,144.781,146.188,12502300.0,0.0,146.188,2020-08-06
5250,SPY,2000-03-17,145.813,148.0,145.438,146.938,10272900.0,0.371,146.938,2020-08-06
5251,SPY,2000-03-16,141.625,146.844,140.875,146.344,25601400.0,0.0,146.344,2020-08-06
5252,SPY,2000-03-15,136.875,140.438,136.063,139.813,10300800.0,0.0,139.813,2020-08-06
5253,SPY,2000-03-14,139.281,140.094,136.156,136.625,8263900.0,0.0,136.625,2020-08-06
5254,SPY,2000-03-13,136.688,140.469,135.688,138.594,10540500.0,0.0,138.594,2020-08-06
5255,SPY,2000-03-10,140.188,142.0,139.531,140.125,7924600.0,0.0,140.125,2020-08-06
